date,cash,regime,note,BTCUSDT_qty,BTCUSDT_equity,ETHUSDT_qty,ETHUSDT_equity,XRPUSDT_qty,XRPUSDT_equity,SOLUSDT_qty,SOLUSDT_equity,ADAUSDT_qty,ADAUSDT_equity,DOGEUSDT_qty,DOGEUSDT_equity,HBARUSDT_qty,HBARUSDT_equity,TRXUSDT_qty,TRXUSDT_equity,LINKUSDT_qty,LINKUSDT_equity,XLMUSDT_qty,XLMUSDT_equity,VIRTUALUSDT_qty,VIRTUALUSDT_equity,SUIUSDT_qty,SUIUSDT_equity,HUMAUSDT_qty,HUMAUSDT_equity,PEPEUSDT_qty,PEPEUSDT_equity,portfolio_equity,btc_drawdown,buy_frozen,holdings_str
6/20/2025,17337.70512,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17337.70512,0.063006793,TRUE,None
6/21/2025,17337.70512,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17337.70512,0.075188048,TRUE,None
6/22/2025,17337.70512,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17337.70512,0.073946272,TRUE,None
6/23/2025,17337.70512,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17337.70512,0.084430483,TRUE,None
6/24/2025,17337.70512,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17337.70512,0.044801517,FALSE,None
6/25/2025,10212.43744,,,0.067032714,7195.330384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17407.76782,0.038008734,FALSE,BTCUSDT
6/26/2025,0,,,0.161983132,17323.61975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17323.61975,0.026604636,FALSE,BTCUSDT
6/27/2025,0,,,0.161983132,17339.90391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17339.90391,0.030173189,FALSE,BTCUSDT
6/28/2025,11007.76471,,,0.058946592,6324.780096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17332.54481,0.029261554,FALSE,BTCUSDT
6/29/2025,13780.38375,,,0.033054181,3581.649552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17362.0333,0.027001736,FALSE,BTCUSDT
6/30/2025,12103.83705,,,0.048495712,5196.145843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17299.98289,0.017388081,FALSE,BTCUSDT
7/1/2025,8908.41951,,,0.034843501,3682.300931,0,0,2077.622219,4512.59546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17103.3159,0.028364609,FALSE,"BTCUSDT, XRPUSDT"
7/2/2025,17086.9343,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17086.9343,0.041652917,FALSE,None
7/3/2025,8315.028719,,,0.013162081,1442.363793,0,0,1296.841087,2926.84065,0,0,0,0,0,0,0,0,15559.30996,4465.521959,0,0,0,0,0,0,0,0,0,0,0,0,17149.75512,0.012920407,FALSE,"BTCUSDT, XRPUSDT, TRXUSDT"
7/4/2025,8490.220246,,,0.016784744,1812.487847,0,0,1091.973269,2424.726645,0,0,0,0,0,0,0,0,15169.91449,4288.534825,0,0,0,0,0,0,0,0,0,0,0,0,17015.96956,0.006253583,FALSE,"BTCUSDT, XRPUSDT, TRXUSDT"
