date,coin,type,price,quantity_trade,quantity_before,quantity_after,cash_before_trade,cash_after_trade,cash_traded
2022-02-20,ETHUSDT,SELL,2760.86637,0.05270300057301755,0.05270300057301755,0.0,355.41522540323865,500.7756613414934,145.36043593825474
2022-02-20,HBARUSDT,SELL,0.23206770000000002,649.8250335467219,649.8250335467219,0.0,500.7756613414934,651.4282588781664,150.652597536673
2022-02-21,XRPUSDT,SELL,0.7761231000000001,101.76099940083046,101.76099940083046,0.0,651.4282588781664,730.328342129923,78.90008325175666
2022-02-21,TRXUSDT,SELL,0.061928010000000006,1733.8568875856354,1733.8568875856354,0.0,730.328342129923,837.5952744962221,107.2669323662991
2022-03-01,BTCUSDT,BUY,43203.159999999996,0.008181718715480221,0.0,0.008181718715480221,837.5952744962221,483.76534182366316,-353.829932672559
2022-03-02,BTCUSDT,SELL,44376.7788,0.0015981099113290924,0.008181718715480221,0.006583608804151129,483.76534182366316,554.6133928867688,70.84805106310563
2022-03-03,BTCUSDT,BUY,43936.87298,0.00900538165879568,0.006583608804151129,0.015588990462946808,554.6133928867688,158.54901843338797,-396.0643744533808
2022-03-04,BTCUSDT,SELL,42411.546,0.012130602907124467,0.015588990462946808,0.0034583875558223415,158.54901843338797,672.5121640134278,513.9631455800397
2022-03-06,BTCUSDT,SELL,39358.56204,0.0034583875558223415,0.0034583875558223415,0.0,672.5121640134278,808.4932080264512,135.9810440130234
2022-03-20,XLMUSDT,BUY,0.2005003,929.5654078662167,0.0,929.5654078662167,808.4932080264512,621.9285001717977,-186.56470785465342
2022-03-20,ETHUSDT,BUY,2953.7908399999997,0.05367905751531729,0.0,0.05367905751531729,621.9285001717977,463.213076359408,-158.71542381238976
2022-03-20,LINKUSDT,BUY,15.025009999999998,7.652348245731607,0.0,7.652348245731607,463.213076359408,348.12137574319195,-115.09170061621603
2022-03-20,TRXUSDT,BUY,0.06197190999999999,1552.275457422466,0.0,1552.275457422466,348.12137574319195,251.82760703188677,-96.29376871130518
2022-03-20,XRPUSDT,BUY,0.8202193999999999,100.17916700476587,0.0,100.17916700476587,251.82760703188677,169.57645963133737,-82.2511474005494
2022-03-21,ETHUSDT,SELL,2858.5186200000003,0.05367905751531729,0.05367905751531729,0.0,169.57645963133737,322.8656024575112,153.28914282617384
2022-03-21,LINKUSDT,SELL,14.525459999999999,7.652348245731607,7.652348245731607,0.0,322.8656024575112,433.9083269286064,111.0427244710952
2022-03-21,TRXUSDT,SELL,0.061498439999999994,1552.275457422466,1552.275457422466,0.0,433.9083269286064,529.2753834912927,95.36705656268629
2022-03-23,XLMUSDT,SELL,0.2066931,105.5634041884288,929.5654078662167,824.0020036777879,529.2753834912927,551.0727915222938,21.797408031001055
2022-03-23,ADAUSDT,BUY,0.9759749999999998,377.34993863721894,0.0,377.34993863721894,551.0727915222938,182.42003240171346,-368.6527591205803
